Do you supply any outbuildings (including loose standing garage) with ,SupplyOfOutBuildings                                                                                                                                                                                                                                           ,Number
How long have you had electricity here in this house?,TimeWithElectricity                                                                                                                                                                                                                                            ,Number
PQLightsDim,PQLightsDim                                                                                                                                                                                                                                                    ,Number
PQGoesOff,PQGoesOff                                                                                                                                                                                                                                                      ,Number
PQTrips,PQTrips                                                                                                                                                                                                                                                        ,Number
Number of females: 16-24,Females16To24                                                                                                                                                                                                                                                  ,Number
Type of small business,BusinessType                                                                                                                                                                                                                                                   ,Char
Where does your hotwater ome from/ other than geyser,HotwaterSouce                                                                                                                                                                                                                                                  ,Blob
Other appliances,OtherAppliances                                                                                                                                                                                                                                                ,Char
IncomeRefused,IncomeRefuse                                                                                                                                                                                                                                                   ,Number
